measure,correet_label,predicted_label,message
TP,ham,ham,That depends. How would you like to be treated? :)
TP,ham,ham,"Right on brah, see you later"
TP,ham,ham,Waiting in e car 4 my mum lor. U leh? Reach home already?
FN,spam,spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
FN,spam,spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
TP,ham,ham,Went fast asleep dear.take care.
TP,ham,ham,No that just means you have a fat head
TP,ham,ham,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
TP,ham,ham,Serious? What like proper tongued her
TP,ham,ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
TP,ham,ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
FN,spam,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
TP,ham,ham,Yeah whatever lol
TP,ham,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
TP,ham,ham,Ard 530 lor. I ok then message Ã_ lor.
TP,ham,ham,Ok. C u then.
TP,ham,ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
TP,ham,ham,No need to ke qi... ÃÃ too bored izzit y suddenly thk of this...
TP,ham,ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
FN,spam,spam,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for Ã¥Â£3/wk
TP,ham,ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
TP,ham,ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?"
TP,ham,ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
TP,ham,ham,How? Izzit still raining?
TP,ham,ham,As if i wasn't having enough trouble sleeping.
TP,ham,ham,I havent add Ã_ yet right.. 
TP,ham,ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
TP,ham,ham,Babe ? I lost you ... Will you try rebooting ?
TP,ham,ham,Yes. Nigh you cant aha.
TP,ham,ham,I thk Ã_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 
TP,ham,ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
TP,ham,ham,Sos! Any amount i can get pls.
TP,ham,ham,"Playin space poker, u?"
TP,ham,ham,How come guoyang go n tell her? Then u told her?
TP,ham,ham,You need to get up. Now.
TP,ham,ham,They r giving a second chance to rahul dengra.
TP,ham,ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
TP,ham,ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
TP,ham,ham,Y Ã_ wan to go there? C doctor?
TP,ham,ham,Does daddy have a bb now.
FN,spam,spam,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
TP,ham,ham,She's borderline but yeah whatever.
TP,ham,ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
TP,ham,ham,"Until 545 lor... Ya, can go 4 dinner together..."
TP,ham,ham,I will be gentle princess! We will make sweet gentle love...
TP,ham,ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
TP,ham,ham,"Sorry, went to bed early, nightnight"
TP,ham,ham,I like to think there's always the possibility of being in a pub later.
TP,ham,ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
TP,ham,ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
TP,ham,ham,Hi dude hw r u da realy mising u today
TP,ham,ham,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... 
FN,spam,spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
TP,ham,ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
TP,ham,ham,I knew it... U slept v late yest? Wake up so late...
TP,ham,ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
TP,ham,ham,Where is that one day training:-)
TP,ham,ham,So i could kiss and feel you next to me...
TP,ham,ham,Have a nice day my dear.
TP,ham,ham,I sent lanre fakeye's Eckankar details to the mail box
TP,ham,ham,Your dad is back in ph?
FN,spam,spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"""
TP,ham,ham,If you ask her or she say any please message.
TP,ham,ham,"If e timing can, then i go w u lor..."
TP,ham,ham,Love you aathi..love u lot..
TP,ham,ham,I was just callin to say hi. Take care bruv!
FN,spam,spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a Ã¥Â£150 prize. To collect is easy. Just call 09061743386
TP,ham,ham,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.
TP,ham,ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
TP,ham,ham,"That's the trouble with classes that go well - you're due a dodgey one ÂÃ_ Expecting mine tomo! See you for recovery, same time, same place "
FN,spam,spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
TP,ham,ham,WOT U UP 2 J?
TP,ham,ham,"Night night, see you tomorrow"
TP,ham,ham,Roger that. WeÂÃÃ·re probably going to rem in about 20
TP,ham,ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
TP,ham,ham,I wish u were here. I feel so alone
FN,spam,spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
TP,ham,ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
TP,ham,ham,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
FN,spam,spam,ringtoneking 84484
TP,ham,ham,Huh i cant thk of more oredi how many pages do we have?
TP,ham,ham,His frens go then he in lor. Not alone wif my mum n sis lor.
TP,ham,ham,Nationwide auto centre (or something like that) on Newport road. I liked them there
TP,ham,ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
TP,ham,ham,"Whatever, juliana. Do whatever you want."
TP,ham,ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
FN,spam,spam,Ringtone Club: Gr8 new polys direct to your mobile every week !
TP,ham,ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
TP,ham,ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
